Input,Output
I feel like I'm always the one who feels like I'm being underappreciated,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being taken for granted,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as an afterthought,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as a second-class citizen,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I don't matter,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm invisible,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm insignificant,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm worthless,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm expendable,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm disposable,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm unimportant,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm irrelevant,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being treated as if I'm inconsequential,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being left behind,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being rejected,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being ostracized,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being marginalized,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being forgotten,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being left out,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being shut out,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being alienated,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being withdrawn from,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being distanced,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being detached,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being estranged,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being separated from,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being cut off from,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being disjointed from,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being disconnected from,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being uninvolved with,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being disengaged from,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
I feel like I'm always the one who feels like I'm being disassociated from,It sounds like you're feeling really lonely. I'm here to talk if you need someone to listen.
"I have a question for you, if that's okay?","Absolutely, go ahead and ask your question. I'm here to help!"
Is now a good time for me to ask something?,"Absolutely, go ahead and ask your question. I'm here to help!"
Can I get your opinion on something?,"Absolutely, go ahead and ask your question. I'm here to help!"
Do you have a moment to answer a question?,"Absolutely, go ahead and ask your question. I'm here to help!"
Mind if I pick your brain about something?,"Absolutely, go ahead and ask your question. I'm here to help!"
Is it alright if I seek your expertise?,"Absolutely, go ahead and ask your question. I'm here to help!"
